model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
brp2.3_146,favoid,-1,16,rabinizer3,10,OK,0.140,2018-05-14.19:41:25,14,519,817,1235,2237,0,0,2,1235,1220,10,4,15,-1,-1
brp2.3_147,favoid,-1,16,finless,-1,OK,1.000,2018-05-14.19:41:28,8634,30984,40506,51112,69855,21,5080,11135,45713,3978,6,2,0,-1,-1
brp2.3_147,favoid,-1,16,ltl3dra,-1,OK,1.330,2018-05-14.19:41:31,109828,109828,155874,232512,233176,0,417,0,232512,32,4,2,109645,-1,-1
brp2.3_147,favoid,-1,16,ltl3tela,-1,OK,1.210,2018-05-14.19:41:34,30260,30260,38302,32710,33545,0,747,0,32710,32,3,2,29890,-1,-1
brp2.3_148,favoid,-1,16,rabinizer3,10,OK,0.960,2018-05-14.19:41:37,1166,40552,58544,63014,93012,10,533,24839,57275,3967,14,2,232,-1,-1
brp2.3_149,favoid,-1,16,finless,-1,OK,0.960,2018-05-14.19:41:40,6878,84976,124400,138140,214023,21,10949,50247,124818,5175,6,2,0,-1,-1
brp2.3_149,favoid,-1,16,ltl3dra,-1,OK,1.320,2018-05-14.19:41:42,80368,80368,115952,152694,152730,0,8,0,152694,64,3,2,79406,-1,-1
brp2.3_149,favoid,-1,16,ltl3tela,-1,OK,1.490,2018-05-14.19:41:45,80368,80368,115952,137252,137503,0,88,0,137252,64,3,2,78440,-1,-1
brp2.3_150,favoid,-1,16,ltl3dra,10,OK,0.130,2018-05-14.19:41:48,22,551,807,1132,1627,0,0,1,1132,1045,5,2,31,-1,-1
brp2.3_150,favoid,-1,16,rabinizer3,10,OK,0.880,2018-05-14.19:41:50,1171,40810,58921,74136,110026,10,576,29180,66100,3454,5,2,237,-1,-1
brp2.3_151,favoid,-1,16,ltl3dra,-1,OK,1.410,2018-05-14.19:41:53,80368,80368,115952,136356,136356,0,0,0,136356,16,75,2,80366,-1,-1
brp2.3_151,favoid,-1,16,rabinizer3,-1,OK,1.340,2018-05-14.19:41:56,80368,80368,120064,130463,130463,0,0,0,130463,16,16,2,80366,-1,-1
brp2.3_152,favoid,-1,16,ltl3dra,10,OK,0.110,2018-05-14.19:41:57,0,425,696,940,1705,0,0,1,940,940,3,2,0,-1,-1
brp2.3_152,favoid,-1,16,rabinizer3,10,OK,0.720,2018-05-14.19:42:00,1136,40802,58916,60768,89989,10,1663,23563,56032,4099,2,2,6,-1,-1
brp2.3_154,favoid,-1,16,rabinizer3,10,OK,0.770,2018-05-14.19:42:02,1136,40667,58760,70601,105856,11,2105,25331,64869,3845,3,2,3,-1,-1
brp2.3_156,favoid,-1,16,rabinizer3,10,OK,0.990,2018-05-14.19:42:04,1136,40822,58976,72658,109663,10,1037,29290,65788,3762,4,2,3,-1,-1
brp2.3_160,favoid,-1,16,finless,10,OK,0.110,2018-05-14.19:42:07,0,254,449,687,1373,0,0,1,687,687,7,2,0,-1,-1
brp2.3_160,favoid,-1,16,ltl3dra,10,OK,0.170,2018-05-14.19:42:08,0,529,864,1022,1850,0,0,1,1022,1022,6,4,0,-1,-1
brp2.3_160,favoid,-1,16,ltl3tela,10,OK,0.160,2018-05-14.19:42:09,0,589,914,957,1651,0,0,1,957,957,4,2,0,-1,-1
brp2.3_162,favoid,-1,16,rabinizer3,10,OK,0.170,2018-05-14.19:42:14,0,664,1009,1265,1998,0,0,1,1265,1265,8,2,0,-1,-1
brp2.3_163,favoid,-1,16,rabinizer3,10,OK,0.360,2018-05-14.19:42:16,1387,1661,2244,3796,4652,1,372,0,3796,553,5,2,463,-1,-1
brp2.3_164,favoid,-1,16,ltl3dra,10,OK,0.420,2018-05-14.19:42:18,2670,2873,3908,3073,3180,0,0,1,3073,235,5,2,2961,-1,-1
brp2.3_164,favoid,-1,16,rabinizer3,10,OK,0.180,2018-05-14.19:42:19,144,984,1532,1649,2516,1,8,0,1649,1384,5,2,128,-1,-1
brp2.3_166,favoid,-1,16,rabinizer3,10,OK,1.110,2018-05-14.19:42:23,2271,80849,116736,129993,193540,24,2209,50219,116857,4443,8,4,6,-1,-1
brp2.3_167,favoid,-1,16,ltl3dra,-1,OK,1.380,2018-05-14.19:42:26,81206,81206,117910,136076,136076,0,0,0,136076,16,9,2,81204,-1,-1
brp2.3_167,favoid,-1,16,ltl3tela,-1,OK,1.380,2018-05-14.19:42:29,80410,158312,569854,373223,441090,20,2769,52834,360595,3817,5,2,80366,-1,-1
brp2.3_167,favoid,-1,16,rabinizer3,-1,OK,1.320,2018-05-14.19:42:32,81206,81206,117910,143658,143658,0,0,0,143658,16,7,2,81204,-1,-1
brp2.3_170,favoid,-1,16,finless,10,OK,0.150,2018-05-14.19:42:34,0,511,800,1137,2005,0,0,1,1137,1137,16,4,0,-1,-1
brp2.3_170,favoid,-1,16,ltl3tela,10,OK,0.150,2018-05-14.19:42:36,0,497,819,1146,2068,0,0,1,1146,1146,6,4,0,-1,-1
brp2.3_171,favoid,-1,16,finless,10,OK,0.370,2018-05-14.19:42:39,633,3475,4837,4530,6702,3,176,700,4505,2558,20,8,0,-1,-1
brp2.3_171,favoid,-1,16,ltl3tela,10,OK,0.700,2018-05-14.19:42:41,12688,12704,18030,12989,13135,1,119,0,12989,32,4,8,12467,-1,-1
brp2.3_172,favoid,-1,16,ltl3dra,10,OK,0.110,2018-05-14.19:42:44,0,368,605,762,1259,0,0,2,762,762,1,2,0,-1,-1
brp2.3_172,favoid,-1,16,ltl3tela,10,OK,0.120,2018-05-14.19:42:45,0,402,646,938,1775,0,0,1,938,938,1,2,0,-1,-1
brp2.3_172,favoid,-1,16,rabinizer3,10,OK,0.130,2018-05-14.19:42:46,0,416,687,1088,1967,0,0,2,1088,1088,1,2,0,-1,-1
